url,main_category
000webhost.com,Internet_and_Telecom
007go.com,Not_working
010.com,Not_working
022menchuang.net,Career_and_Education
03-ts.ru,Internet_and_Telecom
050anshin.com,Not_working
055firenze.it,News_and_Media
05tz2e9.com,Not_working
0687.info,Not_working
0746news.com,News_and_Media
0c9d8370d.se,Not_working
0calc.com,Science
0day.in,Not_working
1-click-lotto.de,Gambling
1-love-quotes.com,People_and_Society
1-save-on-lens.com,Health
1-x-bet.com,Gambling
1000-instrumentov.ru,Shopping
1000.menu,Food_and_Drink
10000birds.com,Not_working
1000getraenke.de,Arts_and_Entertainment
1000kitap.com,Books_and_Literature
1000manga.com,Not_working
1000ps.at,Autos_and_Vehicles
1000size.ru,Autos_and_Vehicles
1001-citations.com,People_and_Society
1001diets.com,Beauty_and_Fitness
1001recepti.com,Food_and_Drink
1001salles.com,Pets_and_Animals
10086.cn,Internet_and_Telecom
100autoguias.com,Beauty_and_Fitness
100dayloans.com,Finance
100diet.net,Health
100pour100haiku.fr,Books_and_Literature
1010tires.com,Autos_and_Vehicles
101test.com,Not_working
101vision.com,Beauty_and_Fitness
101xp.com,Career_and_Education
104.com,Internet_and_Telecom
108engine.com,Autos_and_Vehicles
1091.co.jp,Sports
10barrel.com,Food_and_Drink
10bet.co.uk,Not_working
10bet.com,Gambling
10betlive.com,Gambling
10bis.co.il,Food_and_Drink
10i5.ru,Food_and_Drink
10jqka.com.cn,Finance
10lotto.it,Gambling
10stack.com,Not_working
11.be,Autos_and_Vehicles
1100ad.com,Books_and_Literature
111.com.cn,Health
1111.com.tw,Career_and_Education
11185.cn,Not_working
111cn.net,Computer_and_Electronics
112-magazin.de,News_and_Media
1180049.com,Not_working
118118.com,Reference
11v11.com,Not_working
121ware.com,Computer_and_Electronics
123bio.net,Science
123doc.org,Not_working
123forever.com,Beauty_and_Fitness
123go-networking.org,Career_and_Education
123haitao.com,Not_working
123kortspill.no,Games
123kubo.com,Arts_and_Entertainment
123loterie.com,Not_working
123lottosystem.net,Not_working
123meng.com,Not_working
123project.ir,Computer_and_Electronics
123trochoi.com,Games
123urban.ro,Finance
123vidz.com,Arts_and_Entertainment
12allchat.com,Internet_and_Telecom
12step.org,Health
12stone.com,People_and_Society
12thmanfoundation.com,Career_and_Education
12v-club.ru,Autos_and_Vehicles
1337x.to,Internet_and_Telecom
13980.com,Beauty_and_Fitness
140online.com,Internet_and_Telecom
155chan.info,Adult
1562.kharkov.ua,Internet_and_Telecom
158c.com,Not_working
159i.com,Not_working
15yan.com,Not_working
1620thezone.com,News_and_Media
1688.com,Shopping
17173.com,Games
177tvb.com,Books_and_Literature
178.com,Games
17emesiecle.free.fr,Not_working
17k.com,Games
17sucai.com,Computer_and_Electronics
1800accountant.com,Finance
1800contacts.com,Health
188bet.com,Gambling
189.cn,Internet_and_Telecom
18pornolar.com,Adult
18touch.com,Career_and_Education
1905.com,Not_working
1980.org.tw,Career_and_Education
1day.sk,Not_working
1dca.org,Law_and_Government
1digitalstock.com,Not_working
1hai.cn,Autos_and_Vehicles
1ilac.com,Reference
1kid.ru,Career_and_Education
1kkk.com,Arts_and_Entertainment
1libertaire.free.fr,Not_working
1life.com,Not_working
1life1body.com,Beauty_and_Fitness
1myrdrcts.com,Not_working
1st-line.com,Shopping
